transcript,audio_path
abee,./content/dataset/abee/abee_abang.wav
abee,./content/dataset/abee/abee_andra.wav
abee,./content/dataset/abee/abee_apid.wav
abee,./content/dataset/abee/abee_ari.wav
abee,./content/dataset/abee/abee_bg_yasir.wav
abee,./content/dataset/abee/abee_bulek.wav
abee,./content/dataset/abee/abee_c_jal.wav
abee,./content/dataset/abee/abee_daudi.wav
abee,./content/dataset/abee/abee_dek_wah.wav
abee,./content/dataset/abee/abee_dinda.wav
abee,./content/dataset/abee/abee_faiz.wav
abee,./content/dataset/abee/abee_imam.wav
abee,./content/dataset/abee/abee_jahrol.wav
abee,./content/dataset/abee/abee_jessie.wav
abee,./content/dataset/abee/abee_jol.wav
abee,./content/dataset/abee/abee_kakak.wav
abee,./content/dataset/abee/abee_mamak.wav
abee,./content/dataset/abee/abee_muharis.wav
abee,./content/dataset/abee/abee_oja.wav
abee,./content/dataset/abee/abee_oom.wav
abee,./content/dataset/abee/abee_rafiq.wav
abee,./content/dataset/abee/abee_reja.wav
abee,./content/dataset/abee/abee_syifa.wav
abee,./content/dataset/abee/abee_tajrit.wav
abee,./content/dataset/abee/abee_te.wav
angen,./content/dataset/angen/angen_abang.wav
angen,./content/dataset/angen/angen_andra.wav
angen,./content/dataset/angen/angen_apid.wav
angen,./content/dataset/angen/angen_ari.wav
angen,./content/dataset/angen/angen_bg_yasir.wav
angen,./content/dataset/angen/angen_bulek.wav
angen,./content/dataset/angen/angen_c_jal.wav
angen,./content/dataset/angen/angen_daudi.wav
angen,./content/dataset/angen/angen_dek_wah.wav
angen,./content/dataset/angen/angen_dinda.wav
angen,./content/dataset/angen/angen_faiz.wav
angen,./content/dataset/angen/angen_imam.wav
angen,./content/dataset/angen/angen_jahrol.wav
angen,./content/dataset/angen/angen_jessie.wav
angen,./content/dataset/angen/angen_jol.wav
angen,./content/dataset/angen/angen_kakak.wav
angen,./content/dataset/angen/angen_mamak.wav
angen,./content/dataset/angen/angen_muharis.wav
angen,./content/dataset/angen/angen_oja.wav
angen,./content/dataset/angen/angen_oom.wav
angen,./content/dataset/angen/angen_rafiq.wav
angen,./content/dataset/angen/angen_reja.wav
angen,./content/dataset/angen/angen_syifa.wav
angen,./content/dataset/angen/angen_tajrit.wav
angen,./content/dataset/angen/angen_te.wav
apong,./content/dataset/apong/apong_abang.wav
apong,./content/dataset/apong/apong_andra.wav
apong,./content/dataset/apong/apong_apid.wav
apong,./content/dataset/apong/apong_ari.wav
apong,./content/dataset/apong/apong_bg_yasir.wav
apong,./content/dataset/apong/apong_bulek.wav
apong,./content/dataset/apong/apong_c_jal.wav
apong,./content/dataset/apong/apong_daudi.wav
apong,./content/dataset/apong/apong_dek_wah.wav
apong,./content/dataset/apong/apong_dinda.wav
apong,./content/dataset/apong/apong_faiz.wav
apong,./content/dataset/apong/apong_imam.wav
apong,./content/dataset/apong/apong_jahrol.wav
apong,./content/dataset/apong/apong_jessie.wav
apong,./content/dataset/apong/apong_jol.wav
apong,./content/dataset/apong/apong_kakak.wav
apong,./content/dataset/apong/apong_mamak.wav
apong,./content/dataset/apong/apong_muharis.wav
apong,./content/dataset/apong/apong_oja.wav
apong,./content/dataset/apong/apong_oom.wav
apong,./content/dataset/apong/apong_rafiq.wav
apong,./content/dataset/apong/apong_reja.wav
apong,./content/dataset/apong/apong_syifa.wav
apong,./content/dataset/apong/apong_tajrit.wav
apong,./content/dataset/apong/apong_te.wav
apui,./content/dataset/apui/apui_abang.wav
apui,./content/dataset/apui/apui_andra.wav
apui,./content/dataset/apui/apui_apid.wav
apui,./content/dataset/apui/apui_ari.wav
apui,./content/dataset/apui/apui_bg_yasir.wav
apui,./content/dataset/apui/apui_bulek.wav
apui,./content/dataset/apui/apui_c_jal.wav
apui,./content/dataset/apui/apui_daudi.wav
apui,./content/dataset/apui/apui_dek_wah.wav
apui,./content/dataset/apui/apui_dinda.wav
apui,./content/dataset/apui/apui_faiz.wav
apui,./content/dataset/apui/apui_imam.wav
apui,./content/dataset/apui/apui_jahrol.wav
apui,./content/dataset/apui/apui_jessie.wav
apui,./content/dataset/apui/apui_jol.wav
apui,./content/dataset/apui/apui_kakak.wav
apui,./content/dataset/apui/apui_mamak.wav
apui,./content/dataset/apui/apui_muharis.wav
apui,./content/dataset/apui/apui_oja.wav
apui,./content/dataset/apui/apui_oom.wav
apui,./content/dataset/apui/apui_rafiq.wav
apui,./content/dataset/apui/apui_reja.wav
apui,./content/dataset/apui/apui_syifa.wav
apui,./content/dataset/apui/apui_tajrit.wav
apui,./content/dataset/apui/apui_te.wav
bagah,./content/dataset/bagah/bagah_abang.wav
bagah,./content/dataset/bagah/bagah_andra.wav
bagah,./content/dataset/bagah/bagah_apid.wav
bagah,./content/dataset/bagah/bagah_ari.wav
bagah,./content/dataset/bagah/bagah_bg_yasir.wav
bagah,./content/dataset/bagah/bagah_bulek.wav
bagah,./content/dataset/bagah/bagah_c_jal.wav
bagah,./content/dataset/bagah/bagah_daudi.wav
bagah,./content/dataset/bagah/bagah_dek_wah.wav
bagah,./content/dataset/bagah/bagah_dinda.wav
bagah,./content/dataset/bagah/bagah_faiz.wav
bagah,./content/dataset/bagah/bagah_imam.wav
bagah,./content/dataset/bagah/bagah_jahrol.wav
bagah,./content/dataset/bagah/bagah_jessie.wav
bagah,./content/dataset/bagah/bagah_jol.wav
bagah,./content/dataset/bagah/bagah_kakak.wav
bagah,./content/dataset/bagah/bagah_mamak.wav
bagah,./content/dataset/bagah/bagah_muharis.wav
bagah,./content/dataset/bagah/bagah_oja.wav
bagah,./content/dataset/bagah/bagah_oom.wav
bagah,./content/dataset/bagah/bagah_rafiq.wav
bagah,./content/dataset/bagah/bagah_reja.wav
bagah,./content/dataset/bagah/bagah_syifa.wav
bagah,./content/dataset/bagah/bagah_tajrit.wav
bagah,./content/dataset/bagah/bagah_te.wav
bagiya,./content/dataset/bagiya/bagiya_abang.wav
bagiya,./content/dataset/bagiya/bagiya_andra.wav
bagiya,./content/dataset/bagiya/bagiya_apid.wav
bagiya,./content/dataset/bagiya/bagiya_ari.wav
bagiya,./content/dataset/bagiya/bagiya_bg_yasir.wav
bagiya,./content/dataset/bagiya/bagiya_bulek.wav
bagiya,./content/dataset/bagiya/bagiya_c_jal.wav
bagiya,./content/dataset/bagiya/bagiya_daudi.wav
bagiya,./content/dataset/bagiya/bagiya_dek_wah.wav
bagiya,./content/dataset/bagiya/bagiya_dinda.wav
bagiya,./content/dataset/bagiya/bagiya_faiz.wav
bagiya,./content/dataset/bagiya/bagiya_imam.wav
bagiya,./content/dataset/bagiya/bagiya_jahrol.wav
bagiya,./content/dataset/bagiya/bagiya_jessie.wav
bagiya,./content/dataset/bagiya/bagiya_jol.wav
bagiya,./content/dataset/bagiya/bagiya_kakak.wav
bagiya,./content/dataset/bagiya/bagiya_mamak.wav
bagiya,./content/dataset/bagiya/bagiya_muharis.wav
bagiya,./content/dataset/bagiya/bagiya_oja.wav
bagiya,./content/dataset/bagiya/bagiya_oom.wav
bagiya,./content/dataset/bagiya/bagiya_rafiq.wav
bagiya,./content/dataset/bagiya/bagiya_reja.wav
bagiya,./content/dataset/bagiya/bagiya_syifa.wav
bagiya,./content/dataset/bagiya/bagiya_tajrit.wav
bagiya,./content/dataset/bagiya/bagiya_te.wav
bek,./content/dataset/bek/bek_abang.wav
bek,./content/dataset/bek/bek_andra.wav
bek,./content/dataset/bek/bek_apid.wav
bek,./content/dataset/bek/bek_ari.wav
bek,./content/dataset/bek/bek_bg_yasir.wav
bek,./content/dataset/bek/bek_bulek.wav
bek,./content/dataset/bek/bek_c_jal.wav
bek,./content/dataset/bek/bek_daudi.wav
bek,./content/dataset/bek/bek_dek_wah.wav
bek,./content/dataset/bek/bek_dinda.wav
bek,./content/dataset/bek/bek_faiz.wav
bek,./content/dataset/bek/bek_imam.wav
bek,./content/dataset/bek/bek_jahrol.wav
bek,./content/dataset/bek/bek_jessie.wav
bek,./content/dataset/bek/bek_jol.wav
bek,./content/dataset/bek/bek_kakak.wav
bek,./content/dataset/bek/bek_mamak.wav
bek,./content/dataset/bek/bek_muharis.wav
bek,./content/dataset/bek/bek_oja.wav
bek,./content/dataset/bek/bek_oom.wav
bek,./content/dataset/bek/bek_rafiq.wav
bek,./content/dataset/bek/bek_reja.wav
bek,./content/dataset/bek/bek_syifa.wav
bek,./content/dataset/bek/bek_tajrit.wav
bek,./content/dataset/bek/bek_te.wav
beungeh,./content/dataset/beungeh/beungeh_abang.wav
beungeh,./content/dataset/beungeh/beungeh_andra.wav
beungeh,./content/dataset/beungeh/beungeh_apid.wav
beungeh,./content/dataset/beungeh/beungeh_ari.wav
beungeh,./content/dataset/beungeh/beungeh_bg_yasir.wav
beungeh,./content/dataset/beungeh/beungeh_bulek.wav
beungeh,./content/dataset/beungeh/beungeh_c_jal.wav
beungeh,./content/dataset/beungeh/beungeh_daudi.wav
beungeh,./content/dataset/beungeh/beungeh_dek_wah.wav
beungeh,./content/dataset/beungeh/beungeh_dinda.wav
beungeh,./content/dataset/beungeh/beungeh_faiz.wav
beungeh,./content/dataset/beungeh/beungeh_imam.wav
beungeh,./content/dataset/beungeh/beungeh_jahrol.wav
beungeh,./content/dataset/beungeh/beungeh_jessie.wav
beungeh,./content/dataset/beungeh/beungeh_jol.wav
beungeh,./content/dataset/beungeh/beungeh_kakak.wav
beungeh,./content/dataset/beungeh/beungeh_mamak.wav
beungeh,./content/dataset/beungeh/beungeh_muharis.wav
beungeh,./content/dataset/beungeh/beungeh_oja.wav
beungeh,./content/dataset/beungeh/beungeh_oom.wav
beungeh,./content/dataset/beungeh/beungeh_rafiq.wav
beungeh,./content/dataset/beungeh/beungeh_reja.wav
beungeh,./content/dataset/beungeh/beungeh_syifa.wav
beungeh,./content/dataset/beungeh/beungeh_tajrit.wav
beungeh,./content/dataset/beungeh/beungeh_te.wav
beungoh,./content/dataset/beungoh/beungoh_abang.wav
beungoh,./content/dataset/beungoh/beungoh_andra.wav
beungoh,./content/dataset/beungoh/beungoh_apid.wav
beungoh,./content/dataset/beungoh/beungoh_ari.wav
beungoh,./content/dataset/beungoh/beungoh_bg_yasir.wav
beungoh,./content/dataset/beungoh/beungoh_bulek.wav
beungoh,./content/dataset/beungoh/beungoh_c_jal.wav
beungoh,./content/dataset/beungoh/beungoh_daudi.wav
beungoh,./content/dataset/beungoh/beungoh_dek_wah.wav
beungoh,./content/dataset/beungoh/beungoh_dinda.wav
beungoh,./content/dataset/beungoh/beungoh_faiz.wav
beungoh,./content/dataset/beungoh/beungoh_imam.wav
beungoh,./content/dataset/beungoh/beungoh_jahrol.wav
beungoh,./content/dataset/beungoh/beungoh_jessie.wav
beungoh,./content/dataset/beungoh/beungoh_jol.wav
beungoh,./content/dataset/beungoh/beungoh_kakak.wav
beungoh,./content/dataset/beungoh/beungoh_mamak.wav
beungoh,./content/dataset/beungoh/beungoh_muharis.wav
beungoh,./content/dataset/beungoh/beungoh_oja.wav
beungoh,./content/dataset/beungoh/beungoh_oom.wav
beungoh,./content/dataset/beungoh/beungoh_rafiq.wav
beungoh,./content/dataset/beungoh/beungoh_reja.wav
beungoh,./content/dataset/beungoh/beungoh_syifa.wav
beungoh,./content/dataset/beungoh/beungoh_tajrit.wav
beungoh,./content/dataset/beungoh/beungoh_te.wav
beutoi,./content/dataset/beutoi/beutoi_abang.wav
beutoi,./content/dataset/beutoi/beutoi_andra.wav
beutoi,./content/dataset/beutoi/beutoi_apid.wav
beutoi,./content/dataset/beutoi/beutoi_ari.wav
beutoi,./content/dataset/beutoi/beutoi_bg_yasir.wav
beutoi,./content/dataset/beutoi/beutoi_bulek.wav
beutoi,./content/dataset/beutoi/beutoi_c_jal.wav
beutoi,./content/dataset/beutoi/beutoi_daudi.wav
beutoi,./content/dataset/beutoi/beutoi_dek_wah.wav
beutoi,./content/dataset/beutoi/beutoi_dinda.wav
beutoi,./content/dataset/beutoi/beutoi_faiz.wav
beutoi,./content/dataset/beutoi/beutoi_imam.wav
beutoi,./content/dataset/beutoi/beutoi_jahrol.wav
beutoi,./content/dataset/beutoi/beutoi_jessie.wav
beutoi,./content/dataset/beutoi/beutoi_jol.wav
beutoi,./content/dataset/beutoi/beutoi_kakak.wav
beutoi,./content/dataset/beutoi/beutoi_mamak.wav
beutoi,./content/dataset/beutoi/beutoi_muharis.wav
beutoi,./content/dataset/beutoi/beutoi_oja.wav
beutoi,./content/dataset/beutoi/beutoi_oom.wav
beutoi,./content/dataset/beutoi/beutoi_rafiq.wav
beutoi,./content/dataset/beutoi/beutoi_reja.wav
beutoi,./content/dataset/beutoi/beutoi_syifa.wav
beutoi,./content/dataset/beutoi/beutoi_tajrit.wav
beutoi,./content/dataset/beutoi/beutoi_te.wav
bileung,./content/dataset/bileung/bileung_abang.wav
bileung,./content/dataset/bileung/bileung_andra.wav
bileung,./content/dataset/bileung/bileung_apid.wav
bileung,./content/dataset/bileung/bileung_ari.wav
bileung,./content/dataset/bileung/bileung_bg_yasir.wav
bileung,./content/dataset/bileung/bileung_bulek.wav
bileung,./content/dataset/bileung/bileung_c_jal.wav
bileung,./content/dataset/bileung/bileung_daudi.wav
bileung,./content/dataset/bileung/bileung_dek_wah.wav
bileung,./content/dataset/bileung/bileung_dinda.wav
bileung,./content/dataset/bileung/bileung_faiz.wav
bileung,./content/dataset/bileung/bileung_imam.wav
bileung,./content/dataset/bileung/bileung_jahrol.wav
bileung,./content/dataset/bileung/bileung_jessie.wav
bileung,./content/dataset/bileung/bileung_jol.wav
bileung,./content/dataset/bileung/bileung_kakak.wav
bileung,./content/dataset/bileung/bileung_mamak.wav
bileung,./content/dataset/bileung/bileung_muharis.wav
bileung,./content/dataset/bileung/bileung_oja.wav
bileung,./content/dataset/bileung/bileung_oom.wav
bileung,./content/dataset/bileung/bileung_rafiq.wav
bileung,./content/dataset/bileung/bileung_reja.wav
bileung,./content/dataset/bileung/bileung_syifa.wav
bileung,./content/dataset/bileung/bileung_tajrit.wav
bileung,./content/dataset/bileung/bileung_te.wav
